text	sentiment
Salgo de VeoTV , que día más largoooooo...	N
@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias	NEU
@marodriguezb Gracias MAR	NEU
Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)	N
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!	P
RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio...	NEU
Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!	NEU
Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.	NEU
Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.	P
Desde el escaño. Todo listo para empezar endiascomohoy en el Congreso http://t.co/Mu2yIgCb	NEU
Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.	NEU
Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?	N
programascambiados caca d ajuste	N
Buen viernes	P
"@adri_22_22: programascambiados es TT gracias a @Carlos_Latre" GRACIAS POR EL BUEN RATO AMIGOS!!;)	P
Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?	P
Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu	P
La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija	P
¿Me ayudáis a que indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG	P
abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ	N
abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB	N
La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas	N
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste HerenciaPSOE	N
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad	N
"La verdadera seriedad es cómica". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by	NEU
FF a ti, que deseas desesperadamente hacerme FF, pero no lo haces por el qué dirán.	P
Mis FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria	P
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar sevillahoy	P
FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!	P
"Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"	NEU
Open Master Class@javiersolana &Pedro Alonso on "Global Health Challenges&Global Governance"@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB... .	NEU
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.	NEU
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.	NEU
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV	N
No se ha aprobado la ley Sinde	NEU
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.	N
¡¡Mucho ánimo hoy para "La Armada"!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6	P
Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:"no sabe de lo que habla, no es cierto"	N
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.	N
En el blog: Defender la solidaridad http://t.co/8sDDYC8j	NEU
FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano	P
Qué graciosos los "laicos" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!	N
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. PSNPSOE	NEU
El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria	P
El post de hoy en mi blog http://t.co/nzhcgrxn	NEU
Me encanta ver por aqui  a @TuDNIe ;-))	P
